,file_number,filename,object,object_score,object_bounds,time,last_clean_time,next_clean_time,new_date,new_time,group,range_start
33,25,C:\Users\jaqua\Downloads\Thopmson__-20211127T004305Z-001\Thopmson_\PUP 10_\103MEDIA\DSCF0763.JPG,Deer,0.7705737948417664,"normalized_vertices {
  x: 0.39523419737815857
  y: 0.5374759435653687
}
normalized_vertices {
  x: 0.5877588391304016
  y: 0.5374759435653687
}
normalized_vertices {
  x: 0.5877588391304016
  y: 0.7315688133239746
}
normalized_vertices {
  x: 0.39523419737815857
  y: 0.7315688133239746
}
",2020-06-29 23:21:05,2020-06-29 05:22:15,2020-07-01 23:21:05,2020-06-29,23:21:05,6,2020-06-29 23:21:05
34,26,C:\Users\jaqua\Downloads\Thopmson__-20211127T004305Z-001\Thopmson_\PUP 10_\103MEDIA\DSCF0764.JPG,Deer,0.9006487727165222,"normalized_vertices {
  x: 0.41206446290016174
  y: 0.49346327781677246
}
normalized_vertices {
  x: 0.6113366484642029
  y: 0.49346327781677246
}
normalized_vertices {
  x: 0.6113366484642029
  y: 0.7549195885658264
}
normalized_vertices {
  x: 0.41206446290016174
  y: 0.7549195885658264
}
",2020-07-01 23:21:05,2020-06-29 05:22:15,2020-07-01 23:21:05,2020-07-01,23:21:05,7,2020-07-01 23:21:05
35,27,C:\Users\jaqua\Downloads\Thopmson__-20211127T004305Z-001\Thopmson_\PUP 10_\103MEDIA\DSCF0765.JPG,Deer,0.9072003364562988,"normalized_vertices {
  x: 0.4145362079143524
  y: 0.4423467218875885
}
normalized_vertices {
  x: 0.6168380379676819
  y: 0.4423467218875885
}
normalized_vertices {
  x: 0.6168380379676819
  y: 0.7573225498199463
}
normalized_vertices {
  x: 0.4145362079143524
  y: 0.7573225498199463
}
",2020-07-01 23:21:05,2020-07-01 23:21:05,2020-07-06 23:55:11,2020-07-01,23:21:05,7,2020-07-01 23:21:05
36,30,C:\Users\jaqua\Downloads\Thopmson__-20211127T004305Z-001\Thopmson_\PUP 10_\103MEDIA\DSCF0816.JPG,Animal,0.6612572073936462,"normalized_vertices {
  x: 0.4590442180633545
  y: 0.5767070651054382
}
normalized_vertices {
  x: 0.5650047063827515
  y: 0.5767070651054382
}
normalized_vertices {
  x: 0.5650047063827515
  y: 0.7893365025520325
}
normalized_vertices {
  x: 0.4590442180633545
  y: 0.7893365025520325
}
",2020-07-06 23:55:11,2020-07-01 23:21:05,2020-07-08 21:11:16,2020-07-06,23:55:11,8,2020-07-06 23:55:11
37,31,C:\Users\jaqua\Downloads\Thopmson__-20211127T004305Z-001\Thopmson_\PUP 10_\103MEDIA\DSCF0829.JPG,Animal,0.6854031682014465,"normalized_vertices {
  x: 0.39627397060394287
  y: 0.5410659909248352
}
normalized_vertices {
  x: 0.48119404911994934
  y: 0.5410659909248352
}
normalized_vertices {
  x: 0.48119404911994934
  y: 0.6717507243156433
}
normalized_vertices {
  x: 0.39627397060394287
  y: 0.6717507243156433
}
",2020-07-08 21:11:16,2020-07-06 23:55:11,2020-07-08 21:11:16,2020-07-08,21:11:16,9,2020-07-08 21:11:16
38,32,C:\Users\jaqua\Downloads\Thopmson__-20211127T004305Z-001\Thopmson_\PUP 10_\103MEDIA\DSCF0830.JPG,Animal,0.7105221748352051,"normalized_vertices {
  x: 0.39225414395332336
  y: 0.5441625714302063
}
normalized_vertices {
  x: 0.4788477420806885
  y: 0.5441625714302063
}
normalized_vertices {
  x: 0.4788477420806885
  y: 0.6745302677154541
}
normalized_vertices {
  x: 0.39225414395332336
  y: 0.6745302677154541
}
",2020-07-08 21:11:16,2020-07-08 21:11:16,2020-07-08 21:11:16,2020-07-08,21:11:16,9,2020-07-08 21:11:16
39,33,C:\Users\jaqua\Downloads\Thopmson__-20211127T004305Z-001\Thopmson_\PUP 10_\103MEDIA\DSCF0831.JPG,Animal,0.7064979076385498,"normalized_vertices {
  x: 0.40050676465034485
  y: 0.5308097004890442
}
normalized_vertices {
  x: 0.4833085238933563
  y: 0.5308097004890442
}
normalized_vertices {
  x: 0.4833085238933563
  y: 0.6670452952384949
}
normalized_vertices {
  x: 0.40050676465034485
  y: 0.6670452952384949
}
",2020-07-08 21:11:16,2020-07-08 21:11:16,2020-07-08 21:11:16,2020-07-08,21:11:16,9,2020-07-08 21:11:16
40,33,C:\Users\jaqua\Downloads\Thopmson__-20211127T004305Z-001\Thopmson_\PUP 10_\103MEDIA\DSCF0831.JPG,Animal,0.5784476399421692,"normalized_vertices {
  x: 0.46848711371421814
  y: 0.38272154331207275
}
normalized_vertices {
  x: 0.6534264087677002
  y: 0.38272154331207275
}
normalized_vertices {
  x: 0.6534264087677002
  y: 0.6452935934066772
}
normalized_vertices {
  x: 0.46848711371421814
  y: 0.6452935934066772
}
",2020-07-08 21:11:16,2020-07-08 21:11:16,2020-07-09 05:37:49,2020-07-08,21:11:16,9,2020-07-08 21:11:16
41,34,C:\Users\jaqua\Downloads\Thopmson__-20211127T004305Z-001\Thopmson_\PUP 10_\103MEDIA\DSCF0832.JPG,Person,0.8791166543960571,"normalized_vertices {
  x: 0.23060981929302216
  y: 0.44033417105674744
}
normalized_vertices {
  x: 0.40929922461509705
  y: 0.44033417105674744
}
normalized_vertices {
  x: 0.40929922461509705
  y: 0.9360467791557312
}
normalized_vertices {
  x: 0.23060981929302216
  y: 0.9360467791557312
}
",2020-07-09 05:37:49,2020-07-08 21:11:16,2020-07-09 05:37:49,2020-07-09,05:37:49,10,2020-07-09 05:37:49
42,34,C:\Users\jaqua\Downloads\Thopmson__-20211127T004305Z-001\Thopmson_\PUP 10_\103MEDIA\DSCF0832.JPG,Animal,0.7570216655731201,"normalized_vertices {
  x: 0.44790026545524597
  y: 0.7865181565284729
}
normalized_vertices {
  x: 0.6025641560554504
  y: 0.7865181565284729
}
normalized_vertices {
  x: 0.6025641560554504
  y: 0.9504613280296326
}
normalized_vertices {
  x: 0.44790026545524597
  y: 0.9504613280296326
}
",2020-07-09 05:37:49,2020-07-09 05:37:49,2020-07-09 05:37:49,2020-07-09,05:37:49,10,2020-07-09 05:37:49
43,34,C:\Users\jaqua\Downloads\Thopmson__-20211127T004305Z-001\Thopmson_\PUP 10_\103MEDIA\DSCF0832.JPG,Clothing,0.7320414185523987,"normalized_vertices {
  x: 0.23919664323329926
  y: 0.500827968120575
}
normalized_vertices {
  x: 0.3939513862133026
  y: 0.500827968120575
}
normalized_vertices {
  x: 0.3939513862133026
  y: 0.9146401882171631
}
normalized_vertices {
  x: 0.23919664323329926
  y: 0.9146401882171631
}
",2020-07-09 05:37:49,2020-07-09 05:37:49,2020-07-09 05:37:49,2020-07-09,05:37:49,10,2020-07-09 05:37:49
44,35,C:\Users\jaqua\Downloads\Thopmson__-20211127T004305Z-001\Thopmson_\PUP 10_\103MEDIA\DSCF0833.JPG,Person,0.8250450491905212,"normalized_vertices {
  x: 0.44546201825141907
  y: 0.4654088020324707
}
normalized_vertices {
  x: 0.6125908493995667
  y: 0.4654088020324707
}
normalized_vertices {
  x: 0.6125908493995667
  y: 0.9320992827415466
}
normalized_vertices {
  x: 0.44546201825141907
  y: 0.9320992827415466
}
",2020-07-09 05:37:49,2020-07-09 05:37:49,2020-07-09 05:37:49,2020-07-09,05:37:49,10,2020-07-09 05:37:49
45,35,C:\Users\jaqua\Downloads\Thopmson__-20211127T004305Z-001\Thopmson_\PUP 10_\103MEDIA\DSCF0833.JPG,Clothing,0.7851853966712952,"normalized_vertices {
  x: 0.44530510902404785
  y: 0.511130154132843
}
normalized_vertices {
  x: 0.6009755730628967
  y: 0.511130154132843
}
normalized_vertices {
  x: 0.6009755730628967
  y: 0.917701005935669
}
normalized_vertices {
  x: 0.44530510902404785
  y: 0.917701005935669
}
",2020-07-09 05:37:49,2020-07-09 05:37:49,2020-07-09 05:37:49,2020-07-09,05:37:49,10,2020-07-09 05:37:49
46,36,C:\Users\jaqua\Downloads\Thopmson__-20211127T004305Z-001\Thopmson_\PUP 10_\103MEDIA\DSCF0834.JPG,Person,0.8224827647209167,"normalized_vertices {
  x: 0.5027039647102356
  y: 0.49762681126594543
}
normalized_vertices {
  x: 0.682703971862793
  y: 0.49762681126594543
}
normalized_vertices {
  x: 0.682703971862793
  y: 0.9195659160614014
}
normalized_vertices {
  x: 0.5027039647102356
  y: 0.9195659160614014
}
",2020-07-09 05:37:49,2020-07-09 05:37:49,2020-07-09 05:37:49,2020-07-09,05:37:49,10,2020-07-09 05:37:49
47,36,C:\Users\jaqua\Downloads\Thopmson__-20211127T004305Z-001\Thopmson_\PUP 10_\103MEDIA\DSCF0834.JPG,Animal,0.5890473127365112,"normalized_vertices {
  x: 0.5756648182868958
  y: 0.7474001049995422
}
normalized_vertices {
  x: 0.782883882522583
  y: 0.7474001049995422
}
normalized_vertices {
  x: 0.782883882522583
  y: 0.949862003326416
}
normalized_vertices {
  x: 0.5756648182868958
  y: 0.949862003326416
}
",2020-07-09 05:37:49,2020-07-09 05:37:49,,2020-07-09,05:37:49,10,2020-07-09 05:37:49
